img	id	shapeIndex	angle	estimate	trueNum
Cylinder1_NXNFREP9W_view1	NXNFREP9W	Cylinder1	90	4.335219445023959	4.007333185232471
Cylinder1_U90APHRHO_view1	U90APHRHO	Cylinder1	90	3.9842848373444664	4.174387269895637
Cylinder1_D3L4E2E4Q_view1	D3L4E2E4Q	Cylinder1	90	4.486549154581056	4.276666119016055
Cylinder1_EL5SYEY93_view1	EL5SYEY93	Cylinder1	90	4.228580087171148	4.0943445622221
Cylinder1_NKK972GJI_view1	NKK972GJI	Cylinder1	90	4.486549154581056	4.23410650459726
Cylinder1_UZYLDANPL_view1	UZYLDANPL	Cylinder1	90	4.4987278156406205	4.418840607796598
Cylinder1_6FYQO2GN2_view1	6FYQO2GN2	Cylinder1	90	4.4246840296460235	4.276666119016055
Cylinder1_UADGYPHPL_view1	UADGYPHPL	Cylinder1	90	4.3221536800353455	4.31748811353631
Cylinder1_13CZLNVQU_view1	13CZLNVQU	Cylinder1	90	4.5939368971526235	4.454347296253507
Cylinder1_EB0VPGBXZ_view1	EB0VPGBXZ	Cylinder1	90	4.674179220046419	4.48863636973214
Cylinder1_SR84WXHWC_view1	SR84WXHWC	Cylinder1	90	4.214899747603241	4.23410650459726
Cylinder1_8XN10O4FH_view1	8XN10O4FH	Cylinder1	90	4.4246840296460235	4.605170185988092
Cylinder1_C0UHLAHOF_view1	C0UHLAHOF	Cylinder1	90	4.282510584675499	4.127134385045092
Cylinder1_8U5VN8REH_view1	8U5VN8REH	Cylinder1	90	4.486549154581056	4.584967478670572
Cylinder1_K89SIQELK_view1	K89SIQELK	Cylinder1	90	4.255701636871569	4.48863636973214
Cylinder1_NXNFREP9W_view2	NXNFREP9W	Cylinder1	0	4.421940755106316	4.007333185232471
Cylinder1_4EDNL9RPQ_view1	4EDNL9RPQ	Cylinder1	90	4.214899747603241	4.189654742026425
Cylinder1_D3L4E2E4Q_view2	D3L4E2E4Q	Cylinder1	0	4.463407472623616	4.276666119016055
Cylinder1_YCIU3TL0D_view1	YCIU3TL0D	Cylinder1	90	4.847883654234359	4.948759890378168
Cylinder1_T8ZHO458W_view1	T8ZHO458W	Cylinder1	90	4.75176277532956	4.584967478670572
Cylinder1_U90APHRHO_view2	U90APHRHO	Cylinder1	0	4.052776217431225	4.174387269895637
Cylinder1_2TEBA732Z_view1	2TEBA732Z	Cylinder1	90	4.847883654234359	4.969813299576001
Cylinder1_HLV2EVB9W_view1	HLV2EVB9W	Cylinder1	90	5.294522366261901	5.1298987149230735
Cylinder1_EL5SYEY93_view2	EL5SYEY93	Cylinder1	0	4.521079591261278	4.0943445622221
Cylinder1_2EFNNYRYX_view1	2EFNNYRYX	Cylinder1	90	4.6515321857083975	4.836281906951478
Cylinder1_NKK972GJI_view2	NKK972GJI	Cylinder1	0	4.281373458877584	4.23410650459726
Cylinder1_UZYLDANPL_view2	UZYLDANPL	Cylinder1	0	4.257545406861721	4.418840607796598
Cylinder1_6FYQO2GN2_view2	6FYQO2GN2	Cylinder1	0	4.678959309805237	4.276666119016055
Cylinder1_UADGYPHPL_view2	UADGYPHPL	Cylinder1	0	4.395090587692797	4.31748811353631
Cylinder1_UJ0RRXEP7_view1	UJ0RRXEP7	Cylinder1	90	4.729856899451317	4.553876891600541
Cylinder1_EB0VPGBXZ_view2	EB0VPGBXZ	Cylinder1	0	4.395090587692797	4.48863636973214
Cylinder1_SR84WXHWC_view2	SR84WXHWC	Cylinder1	0	4.177809680768587	4.23410650459726
Cylinder1_K89SIQELK_view2	K89SIQELK	Cylinder1	0	4.566268215491204	4.48863636973214
Cylinder1_NXNFREP9W_view3	NXNFREP9W	Cylinder1	66	4.401925505058708	4.007333185232471
Cylinder1_8EEVAWY5U_view1	8EEVAWY5U	Cylinder1	90	4.386761764987995	4.5217885770490405
Cylinder1_8XN10O4FH_view2	8XN10O4FH	Cylinder1	0	4.695969727965268	4.605170185988092
Cylinder1_8U5VN8REH_view2	8U5VN8REH	Cylinder1	0	4.822374615735167	4.584967478670572
Cylinder1_C0UHLAHOF_view2	C0UHLAHOF	Cylinder1	0	4.58172429766459	4.127134385045092
Cylinder1_U90APHRHO_view3	U90APHRHO	Cylinder1	66	4.610483681879561	4.174387269895637
Cylinder1_D3L4E2E4Q_view3	D3L4E2E4Q	Cylinder1	66	4.4910424554804305	4.276666119016055
Cylinder1_4EDNL9RPQ_view2	4EDNL9RPQ	Cylinder1	0	4.645652779390293	4.189654742026425
Cylinder1_EL5SYEY93_view3	EL5SYEY93	Cylinder1	66	4.3066971612602085	4.0943445622221
Cylinder1_2TEBA732Z_view2	2TEBA732Z	Cylinder1	0	5.1485543305009775	4.969813299576001
Cylinder1_YCIU3TL0D_view2	YCIU3TL0D	Cylinder1	0	4.695969727965268	4.948759890378168
Cylinder1_NKK972GJI_view3	NKK972GJI	Cylinder1	66	4.519525271982948	4.23410650459726
Cylinder1_T8ZHO458W_view2	T8ZHO458W	Cylinder1	0	4.368843653522523	4.584967478670572
Cylinder1_2EFNNYRYX_view2	2EFNNYRYX	Cylinder1	0	4.421940755106316	4.836281906951478
Cylinder1_UZYLDANPL_view3	UZYLDANPL	Cylinder1	66	4.653841148138328	4.418840607796598
Cylinder1_UADGYPHPL_view3	UADGYPHPL	Cylinder1	66	4.349830498575855	4.31748811353631
Cylinder1_6FYQO2GN2_view3	6FYQO2GN2	Cylinder1	66	4.547438885599897	4.276666119016055
