img	id	shapeIndex	angle	estimate	trueNum
Disk2_INCY9WRU3_view2	INCY9WRU3	Disk2	0	13	13
Cylinder1_RPXD8F8A1_view5	RPXD8F8A1	Cylinder1	22	50	168
Disk2_L7HJAI5QH_view2	L7HJAI5QH	Disk2	0	25	27
Sphere2_QJ7A2VLZJ_view3	QJ7A2VLZJ	Sphere2	66	100	634
Sphere2_80NMDSOCB_view2	80NMDSOCB	Sphere2	0	150	862
Disk2_SRGKT7J6W_view1	SRGKT7J6W	Disk2	90	3	6
Sphere1_6YS8K4A4Q_view5	6YS8K4A4Q	Sphere1	22	50	619
Cylinder2_V1KH4ZGWT_view4	V1KH4ZGWT	Cylinder2	45	20	31
Sphere2_KPET24YYP_view2	KPET24YYP	Sphere2	0	100	734
Sphere1_ZOSELZLL0_view2	ZOSELZLL0	Sphere1	0	100	996
Sphere1_YQ7UHJ3SX_view3	YQ7UHJ3SX	Sphere1	66	100	943
Disk1_MGZBUG5C3_view2	MGZBUG5C3	Disk1	0	23	23
Disk1_5G8BZBGDD_view2	5G8BZBGDD	Disk1	0	35	32
Disk2_SCRT7R5A3_view1	SCRT7R5A3	Disk2	90	6	9
Cylinder1_M5NR4RF40_view3	M5NR4RF40	Cylinder1	66	100	116
Cylinder2_SHCV0RIDU_view4	SHCV0RIDU	Cylinder2	45	50	41
Cylinder2_YWBCJPVX9_view5	YWBCJPVX9	Cylinder2	22	20	38
Cylinder1_I0WDT82C3_view1	I0WDT82C3	Cylinder1	90	100	116
Sphere1_V3Q1CLJY3_view5	V3Q1CLJY3	Sphere1	22	200	841
Sphere1_QNFD860RN_view2	QNFD860RN	Sphere1	0	50	654
Sphere2_KGONB1PPB_view2	KGONB1PPB	Sphere2	0	100	527
Sphere2_NIB1FRFXN_view2	NIB1FRFXN	Sphere2	0	50	388
Sphere2_VL08RVUR5_view5	VL08RVUR5	Sphere2	22	75	369
Disk2_VPKDNRNXX_view4	VPKDNRNXX	Disk2	45	11	18
Disk2_WNLI89O27_view2	WNLI89O27	Disk2	0	16	16
Disk2_RUXPXZYBF_view5	RUXPXZYBF	Disk2	22	18	21
Cylinder2_IHQ35HXKS_view3	IHQ35HXKS	Cylinder2	66	29	48
Disk1_4UGDYQ3UM_view1	4UGDYQ3UM	Disk1	90	9	15
Disk1_RPXQ5E75S_view4	RPXQ5E75S	Disk1	45	33	34
