estimate,id,img,responseTime,shapeindex,trial,truenum,viewindex,firebaseId,PROLIFIC_PID,SESSION_ID,STUDY_ID,dateStarted,feedback,numWarnings,reachedBonus,totalTime
13,INCY9WRU3,Disk2_INCY9WRU3_view2.png,39879,4,1,13,2,x2yhcgdtPnuepHTdSwbVowjqgb9X2,633753ce3c8019c829e7ee33,6399097eb44e9f93ceafd970,6393bc7851c6f243862e40e3,Tue Dec 13 2022 18:24:11 GMT-0500 (Eastern Standard Time),"No, everything was clear",0,0,518624
50,RPXD8F8A1,Cylinder1_RPXD8F8A1_view5.png,21202,1,2,168,5,x2yhcgdtPnuepHTdSwbVowjqgb9X2,633753ce3c8019c829e7ee33,6399097eb44e9f93ceafd970,6393bc7851c6f243862e40e3,Tue Dec 13 2022 18:24:11 GMT-0500 (Eastern Standard Time),"No, everything was clear",0,0,518624
25,L7HJAI5QH,Disk2_L7HJAI5QH_view2.png,63936,4,3,27,2,x2yhcgdtPnuepHTdSwbVowjqgb9X2,633753ce3c8019c829e7ee33,6399097eb44e9f93ceafd970,6393bc7851c6f243862e40e3,Tue Dec 13 2022 18:24:11 GMT-0500 (Eastern Standard Time),"No, everything was clear",0,0,518624
100,QJ7A2VLZJ,Sphere2_QJ7A2VLZJ_view3.png,9908,6,4,634,3,x2yhcgdtPnuepHTdSwbVowjqgb9X2,633753ce3c8019c829e7ee33,6399097eb44e9f93ceafd970,6393bc7851c6f243862e40e3,Tue Dec 13 2022 18:24:11 GMT-0500 (Eastern Standard Time),"No, everything was clear",0,0,518624
150,80NMDSOCB,Sphere2_80NMDSOCB_view2.png,11041,6,5,862,2,x2yhcgdtPnuepHTdSwbVowjqgb9X2,633753ce3c8019c829e7ee33,6399097eb44e9f93ceafd970,6393bc7851c6f243862e40e3,Tue Dec 13 2022 18:24:11 GMT-0500 (Eastern Standard Time),"No, everything was clear",0,0,518624
3,SRGKT7J6W,Disk2_SRGKT7J6W_view1.png,12346,4,6,6,1,x2yhcgdtPnuepHTdSwbVowjqgb9X2,633753ce3c8019c829e7ee33,6399097eb44e9f93ceafd970,6393bc7851c6f243862e40e3,Tue Dec 13 2022 18:24:11 GMT-0500 (Eastern Standard Time),"No, everything was clear",0,0,518624
50,6YS8K4A4Q,Sphere1_6YS8K4A4Q_view5.png,8459,5,7,619,5,x2yhcgdtPnuepHTdSwbVowjqgb9X2,633753ce3c8019c829e7ee33,6399097eb44e9f93ceafd970,6393bc7851c6f243862e40e3,Tue Dec 13 2022 18:24:11 GMT-0500 (Eastern Standard Time),"No, everything was clear",0,0,518624
20,V1KH4ZGWT,Cylinder2_V1KH4ZGWT_view4.png,21259,2,8,31,4,x2yhcgdtPnuepHTdSwbVowjqgb9X2,633753ce3c8019c829e7ee33,6399097eb44e9f93ceafd970,6393bc7851c6f243862e40e3,Tue Dec 13 2022 18:24:11 GMT-0500 (Eastern Standard Time),"No, everything was clear",0,0,518624
100,KPET24YYP,Sphere2_KPET24YYP_view2.png,10701,6,9,734,2,x2yhcgdtPnuepHTdSwbVowjqgb9X2,633753ce3c8019c829e7ee33,6399097eb44e9f93ceafd970,6393bc7851c6f243862e40e3,Tue Dec 13 2022 18:24:11 GMT-0500 (Eastern Standard Time),"No, everything was clear",0,0,518624
100,ZOSELZLL0,Sphere1_ZOSELZLL0_view2.png,24086,5,10,996,2,x2yhcgdtPnuepHTdSwbVowjqgb9X2,633753ce3c8019c829e7ee33,6399097eb44e9f93ceafd970,6393bc7851c6f243862e40e3,Tue Dec 13 2022 18:24:11 GMT-0500 (Eastern Standard Time),"No, everything was clear",0,0,518624
100,YQ7UHJ3SX,Sphere1_YQ7UHJ3SX_view3.png,9903,5,11,943,3,x2yhcgdtPnuepHTdSwbVowjqgb9X2,633753ce3c8019c829e7ee33,6399097eb44e9f93ceafd970,6393bc7851c6f243862e40e3,Tue Dec 13 2022 18:24:11 GMT-0500 (Eastern Standard Time),"No, everything was clear",0,0,518624
23,MGZBUG5C3,Disk1_MGZBUG5C3_view2.png,23561,3,12,23,2,x2yhcgdtPnuepHTdSwbVowjqgb9X2,633753ce3c8019c829e7ee33,6399097eb44e9f93ceafd970,6393bc7851c6f243862e40e3,Tue Dec 13 2022 18:24:11 GMT-0500 (Eastern Standard Time),"No, everything was clear",0,0,518624
10,B81JI2UKR,Disk1_B81JI2UKR_view4.png,15683,3,13,10,4,x2yhcgdtPnuepHTdSwbVowjqgb9X2,633753ce3c8019c829e7ee33,6399097eb44e9f93ceafd970,6393bc7851c6f243862e40e3,Tue Dec 13 2022 18:24:11 GMT-0500 (Eastern Standard Time),"No, everything was clear",0,0,518624
35,5G8BZBGDD,Disk1_5G8BZBGDD_view2.png,29178,3,14,32,2,x2yhcgdtPnuepHTdSwbVowjqgb9X2,633753ce3c8019c829e7ee33,6399097eb44e9f93ceafd970,6393bc7851c6f243862e40e3,Tue Dec 13 2022 18:24:11 GMT-0500 (Eastern Standard Time),"No, everything was clear",0,0,518624
6,SCRT7R5A3,Disk2_SCRT7R5A3_view1.png,14314,4,15,9,1,x2yhcgdtPnuepHTdSwbVowjqgb9X2,633753ce3c8019c829e7ee33,6399097eb44e9f93ceafd970,6393bc7851c6f243862e40e3,Tue Dec 13 2022 18:24:11 GMT-0500 (Eastern Standard Time),"No, everything was clear",0,0,518624
100,M5NR4RF40,Cylinder1_M5NR4RF40_view3.png,10173,1,16,116,3,x2yhcgdtPnuepHTdSwbVowjqgb9X2,633753ce3c8019c829e7ee33,6399097eb44e9f93ceafd970,6393bc7851c6f243862e40e3,Tue Dec 13 2022 18:24:11 GMT-0500 (Eastern Standard Time),"No, everything was clear",0,0,518624
50,SHCV0RIDU,Cylinder2_SHCV0RIDU_view4.png,12431,2,17,41,4,x2yhcgdtPnuepHTdSwbVowjqgb9X2,633753ce3c8019c829e7ee33,6399097eb44e9f93ceafd970,6393bc7851c6f243862e40e3,Tue Dec 13 2022 18:24:11 GMT-0500 (Eastern Standard Time),"No, everything was clear",0,0,518624
20,YWBCJPVX9,Cylinder2_YWBCJPVX9_view5.png,10031,2,18,38,5,x2yhcgdtPnuepHTdSwbVowjqgb9X2,633753ce3c8019c829e7ee33,6399097eb44e9f93ceafd970,6393bc7851c6f243862e40e3,Tue Dec 13 2022 18:24:11 GMT-0500 (Eastern Standard Time),"No, everything was clear",0,0,518624
100,I0WDT82C3,Cylinder1_I0WDT82C3_view1.png,11261,1,19,116,1,x2yhcgdtPnuepHTdSwbVowjqgb9X2,633753ce3c8019c829e7ee33,6399097eb44e9f93ceafd970,6393bc7851c6f243862e40e3,Tue Dec 13 2022 18:24:11 GMT-0500 (Eastern Standard Time),"No, everything was clear",0,0,518624
200,V3Q1CLJY3,Sphere1_V3Q1CLJY3_view5.png,10401,5,20,841,5,x2yhcgdtPnuepHTdSwbVowjqgb9X2,633753ce3c8019c829e7ee33,6399097eb44e9f93ceafd970,6393bc7851c6f243862e40e3,Tue Dec 13 2022 18:24:11 GMT-0500 (Eastern Standard Time),"No, everything was clear",0,0,518624
50,QNFD860RN,Sphere1_QNFD860RN_view2.png,9934,5,21,654,2,x2yhcgdtPnuepHTdSwbVowjqgb9X2,633753ce3c8019c829e7ee33,6399097eb44e9f93ceafd970,6393bc7851c6f243862e40e3,Tue Dec 13 2022 18:24:11 GMT-0500 (Eastern Standard Time),"No, everything was clear",0,0,518624
100,KGONB1PPB,Sphere2_KGONB1PPB_view2.png,13430,6,22,527,2,x2yhcgdtPnuepHTdSwbVowjqgb9X2,633753ce3c8019c829e7ee33,6399097eb44e9f93ceafd970,6393bc7851c6f243862e40e3,Tue Dec 13 2022 18:24:11 GMT-0500 (Eastern Standard Time),"No, everything was clear",0,0,518624
